source	target	weight
208	1137	1.000000
208	376	1.000000
208	838	1.000000
717	1213	1.000000
717	729	1.000000
717	833	1.000000
717	1079	1.000000
717	888	1.000000
717	796	1.000000
717	768	1.000000
717	799	1.000000
717	958	1.000000
717	851	1.000000
717	1030	1.000000
717	1178	1.000000
717	827	1.000000
716	672	1.000000
716	806	1.000000
785	1170	1.000000
785	758	1.000000
785	706	1.000000
785	1213	1.000000
785	762	1.000000
785	1059	1.000000
785	631	1.000000
785	1178	1.000000
785	890	1.000000
785	838	1.000000
785	647	1.000000
785	1212	1.000000
785	782	1.000000
785	1015	1.000000
936	768	1.000000
936	623	1.000000
936	662	1.000000
936	1150	1.000000
936	679	1.000000
936	1178	1.000000
550	291	1.000000
550	399	1.000000
550	84	1.000000
550	376	1.000000
773	848	1.000000
773	233	1.000000
773	584	1.000000
773	729	1.000000
773	743	1.000000
773	679	1.000000
773	712	1.000000
773	950	1.000000
773	1010	1.000000
773	422	1.000000
773	1107	1.000000
773	101	1.000000
989	692	1.000000
989	607	1.000000
989	1006	1.000000
989	253	1.000000
989	1200	1.000000
989	1036	1.000000
989	1170	1.000000
989	1212	1.000000
989	1075	1.000000
989	619	1.000000
989	909	1.000000
989	838	1.000000
989	381	1.000000
989	768	1.000000
989	1030	1.000000
989	848	1.000000
989	1010	1.000000
989	751	1.000000
989	946	1.000000
989	743	1.000000
989	772	1.000000
989	1079	1.000000
989	1199	1.000000
989	706	1.000000
989	739	1.000000
989	830	1.000000
989	869	1.000000
989	890	1.000000
989	1086	1.000000
989	921	1.000000
989	957	1.000000
989	1176	1.000000
989	655	1.000000
989	1133	1.000000
989	988	1.000000
989	1155	1.000000
989	1160	1.000000
989	639	1.000000
989	584	1.000000
989	748	1.000000
989	809	1.000000
989	983	1.000000
989	1178	1.000000
989	566	1.000000
989	123	1.000000
989	101	1.000000
989	975	1.000000
989	1125	1.000000
989	1059	1.000000
989	1197	1.000000
989	697	1.000000
989	422	1.000000
989	829	1.000000
989	497	1.000000
794	996	1.000000
794	838	1.000000
794	1068	1.000000
794	1199	1.000000
794	1118	1.000000
794	1197	1.000000
794	215	1.000000
794	748	1.000000
794	1003	1.000000
794	1052	1.000000
794	1079	1.000000
794	719	1.000000
794	672	1.000000
794	946	1.000000
794	830	1.000000
794	890	1.000000
794	922	1.000000
794	1006	1.000000
794	657	1.000000
794	139	1.000000
794	1036	1.000000
794	619	1.000000
794	983	1.000000
794	692	1.000000
794	1213	1.000000
794	768	1.000000
794	682	1.000000
12	358	1.000000
12	446	1.000000
12	48	1.000000
12	639	1.000000
12	84	1.000000
12	100	1.000000
12	119	1.000000
12	123	1.000000
12	1086	1.000000
12	127	1.000000
12	506	1.000000
12	147	1.000000
12	253	1.000000
12	838	1.000000
12	101	1.000000
12	869	1.000000
12	269	1.000000
12	317	1.000000
12	374	1.000000
12	384	1.000000
12	383	1.000000
12	566	1.000000
12	699	1.000000
12	739	1.000000
12	441	1.000000
12	451	1.000000
12	1075	1.000000
12	493	1.000000
12	525	1.000000
12	498	1.000000
12	497	1.000000
12	418	1.000000
12	500	1.000000
12	245	1.000000
12	921	1.000000
12	1199	1.000000
12	564	1.000000
12	60	1.000000
12	237	1.000000
12	584	1.000000
12	428	1.000000
12	126	1.000000
12	233	1.000000
12	152	1.000000
12	359	1.000000
12	386	1.000000
12	301	1.000000
12	308	1.000000
12	340	1.000000
12	346	1.000000
12	154	1.000000
12	520	1.000000
12	462	1.000000
12	1068	1.000000
12	1178	1.000000
12	376	1.000000
12	1212	1.000000
12	1213	1.000000
12	946	1.000000
12	535	1.000000
12	830	1.000000
12	619	1.000000
1001	1010	1.000000
1001	706	1.000000
1001	215	1.000000
1001	791	1.000000
1001	838	1.000000
1001	842	1.000000
1001	922	1.000000
1001	951	1.000000
1001	996	1.000000
1001	1006	1.000000
1001	707	1.000000
1001	1178	1.000000
1001	1199	1.000000
1001	768	1.000000
1001	1030	1.000000
705	127	1.000000
705	672	1.000000
705	1006	1.000000
705	647	1.000000
705	782	1.000000
593	928	1.000000
593	672	1.000000
593	724	1.000000
593	1048	1.000000
340	22	1.000000
340	43	1.000000
340	48	1.000000
340	97	1.000000
340	72	1.000000
340	87	1.000000
340	96	1.000000
340	374	1.000000
340	126	1.000000
340	127	1.000000
340	131	1.000000
340	62	1.000000
340	147	1.000000
340	141	1.000000
340	170	1.000000
340	185	1.000000
340	165	1.000000
340	497	1.000000
340	517	1.000000
340	314	1.000000
340	317	1.000000
340	283	1.000000
340	362	1.000000
340	341	1.000000
340	348	1.000000
340	346	1.000000
340	369	1.000000
340	376	1.000000
340	383	1.000000
340	384	1.000000
340	404	1.000000
340	407	1.000000
340	462	1.000000
340	582	1.000000
340	486	1.000000
340	495	1.000000
340	498	1.000000
340	525	1.000000
340	418	1.000000
340	535	1.000000
340	266	1.000000
340	1030	1.000000
340	21	1.000000
340	564	1.000000
340	1006	1.000000
930	1200	1.000000
930	1010	1.000000
930	799	1.000000
930	898	1.000000
930	631	1.000000
930	604	1.000000
930	606	1.000000
930	619	1.000000
930	647	1.000000
930	729	1.000000
930	766	1.000000
930	771	1.000000
930	957	1.000000
930	816	1.000000
930	833	1.000000
930	838	1.000000
930	842	1.000000
930	101	1.000000
930	853	1.000000
930	882	1.000000
930	897	1.000000
930	890	1.000000
930	910	1.000000
930	922	1.000000
930	1178	1.000000
930	989	1.000000
930	995	1.000000
930	1006	1.000000
930	422	1.000000
930	1036	1.000000
930	1068	1.000000
930	1075	1.000000
930	1086	1.000000
930	1079	1.000000
930	946	1.000000
930	739	1.000000
930	809	1.000000
930	1170	1.000000
930	1212	1.000000
930	1213	1.000000
930	672	1.000000
1110	768	1.000000
1110	917	1.000000
1110	783	1.000000
1110	886	1.000000
1110	1213	1.000000
1110	1059	1.000000
1110	967	1.000000
1110	922	1.000000
1110	799	1.000000
1110	1011	1.000000
1110	623	1.000000
1110	830	1.000000
1110	890	1.000000
1110	1006	1.000000
1110	756	1.000000
1110	972	1.000000
1110	1221	1.000000
1110	753	1.000000
1110	758	1.000000
1110	833	1.000000
1110	1079	1.000000
1110	882	1.000000
1110	737	1.000000
1110	876	1.000000
1110	662	1.000000
1110	635	1.000000
1110	1144	1.000000
1110	1112	1.000000
1110	827	1.000000
1110	600	1.000000
1110	1178	1.000000
818	699	1.000000
